"bg_geo_id","score","model_id","date_obtained"
"530330092001","3","11","2021-03-12"
"530330092002","3","11","2021-03-12"
"530330093001","3","11","2021-03-12"
"530330093002","3","11","2021-03-12"
"530330093003","3","11","2021-03-12"
"530330094001","3","11","2021-03-12"
"530330094002","3","11","2021-03-12"
"530330094003","3","11","2021-03-12"
"530330094004","3","11","2021-03-12"
"530330094005","3","11","2021-03-12"
"530330095001","3","11","2021-03-12"
"530330095002","3","11","2021-03-12"
"530330095003","3","11","2021-03-12"
"530330095004","3","11","2021-03-12"
"530330096001","3","11","2021-03-12"
"530330096002","3","11","2021-03-12"
"530330096003","3","11","2021-03-12"
"530330096004","3","11","2021-03-12"
"530330096005","2","11","2021-03-12"
"530330097011","3","11","2021-03-12"
"530330097012","3","11","2021-03-12"
"530330097013","3","11","2021-03-12"
"530330097014","3","11","2021-03-12"
"530330097021","3","11","2021-03-12"
"530330097022","3","11","2021-03-12"
"530330097023","3","11","2021-03-12"
"530330097024","3","11","2021-03-12"
"530330097025","3","11","2021-03-12"
"530330098001","3","11","2021-03-12"
"530330098002","3","11","2021-03-12"
"530330098003","3","11","2021-03-12"
"530330098004","3","11","2021-03-12"
"530330098005","3","11","2021-03-12"
"530330099001","3","11","2021-03-12"
"530330099002","3","11","2021-03-12"
"530330099003","3","11","2021-03-12"
"530330099004","3","11","2021-03-12"
"530330100011","3","11","2021-03-12"
"530330100012","3","11","2021-03-12"
"530330100013","4","11","2021-03-12"
"530330100021","3","11","2021-03-12"
"530330100022","4","11","2021-03-12"
"530330100023","3","11","2021-03-12"
"530330100024","3","11","2021-03-12"
"530330101001","3","11","2021-03-12"
"530330101002","4","11","2021-03-12"
"530330101003","4","11","2021-03-12"
"530330101004","3","11","2021-03-12"
"530330101005","3","11","2021-03-12"
"530330102001","3","11","2021-03-12"
"530330102002","3","11","2021-03-12"
"530330102003","3","11","2021-03-12"
"530330102004","3","11","2021-03-12"
"530330103001","3","11","2021-03-12"
"530330103002","3","11","2021-03-12"
"530330103003","4","11","2021-03-12"
"530330103004","3","11","2021-03-12"
"530330103005","3","11","2021-03-12"
"530330104011","3","11","2021-03-12"
"530330104012","3","11","2021-03-12"
"530330104013","3","11","2021-03-12"
"530330104021","3","11","2021-03-12"
"530330104022","3","11","2021-03-12"
"530330104023","3","11","2021-03-12"
"530330104024","3","11","2021-03-12"
"530330105001","2","11","2021-03-12"
"530330105002","3","11","2021-03-12"
"530330105003","3","11","2021-03-12"
"530330105004","4","11","2021-03-12"
"530330105005","3","11","2021-03-12"
"530330106001","3","11","2021-03-12"
"530330106002","3","11","2021-03-12"
"530330106003","3","11","2021-03-12"
"530330106004","3","11","2021-03-12"
"530330106005","3","11","2021-03-12"
"530330106006","3","11","2021-03-12"
"530330107011","3","11","2021-03-12"
"530330107012","3","11","2021-03-12"
"530330107021","3","11","2021-03-12"
"530330107022","4","11","2021-03-12"
"530330107023","4","11","2021-03-12"
"530330108001","3","11","2021-03-12"
"530330108002","3","11","2021-03-12"
"530330108003","3","11","2021-03-12"
"530330109001","3","11","2021-03-12"
"530330109002","3","11","2021-03-12"
"530330110011","3","11","2021-03-12"
"530330110012","2","11","2021-03-12"
"530330110013","3","11","2021-03-12"
"530330110021","3","11","2021-03-12"
"530330110022","4","11","2021-03-12"
"530330110023","3","11","2021-03-12"
"530330111011","3","11","2021-03-12"
"530330111012","3","11","2021-03-12"
"530330111013","3","11","2021-03-12"
"530330111014","3","11","2021-03-12"
"530330111021","2","11","2021-03-12"
"530330111022","4","11","2021-03-12"
"530330111023","3","11","2021-03-12"
"530330111024","3","11","2021-03-12"
"530330112001","3","11","2021-03-12"
"530330112002","3","11","2021-03-12"
"530330112003","4","11","2021-03-12"
"530330113001","3","11","2021-03-12"
"530330113002","4","11","2021-03-12"
"530330113003","3","11","2021-03-12"
"530330113004","3","11","2021-03-12"
"530330113005","3","11","2021-03-12"
"530330114011","4","11","2021-03-12"
"530330114012","3","11","2021-03-12"
"530330114013","3","11","2021-03-12"
"530330114021","3","11","2021-03-12"
"530330114022","3","11","2021-03-12"
"530330114023","3","11","2021-03-12"
"530330115001","3","11","2021-03-12"
"530330115002","3","11","2021-03-12"
"530330115003","3","11","2021-03-12"
"530330116001","3","11","2021-03-12"
"530330116002","3","11","2021-03-12"
"530330116003","3","11","2021-03-12"
"530330116004","3","11","2021-03-12"
"530330116005","3","11","2021-03-12"
"530330116006","3","11","2021-03-12"
"530330117001","3","11","2021-03-12"
"530330117002","3","11","2021-03-12"
"530330117003","3","11","2021-03-12"
"530330117004","3","11","2021-03-12"
"530330118001","2","11","2021-03-12"
"530330118002","3","11","2021-03-12"
"530330118003","3","11","2021-03-12"
"530330118004","3","11","2021-03-12"
"530330118005","4","11","2021-03-12"
"530330118006","4","11","2021-03-12"
"530330119001","3","11","2021-03-12"
"530330119002","3","11","2021-03-12"
"530330119003","3","11","2021-03-12"
"530330119004","3","11","2021-03-12"
"530330119005","3","11","2021-03-12"
"530330120001","3","11","2021-03-12"
"530330120002","3","11","2021-03-12"
"530330120003","3","11","2021-03-12"
"530330121001","3","11","2021-03-12"
"530330121002","3","11","2021-03-12"
"530330201001","2","11","2021-03-12"
"530330201002","3","11","2021-03-12"
"530330201003","2","11","2021-03-12"
"530330202001","3","11","2021-03-12"
"530330202002","2","11","2021-03-12"
"530330202003","2","11","2021-03-12"
"530330202004","3","11","2021-03-12"
"530330202005","3","11","2021-03-12"
"530330203001","3","11","2021-03-12"
"530330203002","3","11","2021-03-12"
"530330203003","3","11","2021-03-12"
"530330203004","3","11","2021-03-12"
"530330203005","3","11","2021-03-12"
"530330204011","3","11","2021-03-12"
"530330204012","3","11","2021-03-12"
"530330204013","3","11","2021-03-12"
"530330204021","3","11","2021-03-12"
"530330204022","3","11","2021-03-12"
"530330204023","3","11","2021-03-12"
"530330204024","3","11","2021-03-12"
"530330204025","3","11","2021-03-12"
"530330205001","3","11","2021-03-12"
"530330205002","3","11","2021-03-12"
"530330205003","3","11","2021-03-12"
"530330205004","3","11","2021-03-12"
"530330205005","4","11","2021-03-12"
"530330205006","3","11","2021-03-12"
"530330206001","3","11","2021-03-12"
"530330206002","3","11","2021-03-12"
"530330206003","3","11","2021-03-12"
"530330206004","3","11","2021-03-12"
"530330207001","3","11","2021-03-12"
"530330207002","3","11","2021-03-12"
"530330207003","3","11","2021-03-12"
"530330208001","3","11","2021-03-12"
"530330208002","3","11","2021-03-12"
"530330208003","3","11","2021-03-12"
"530330208004","2","11","2021-03-12"
"530330209001","3","11","2021-03-12"
"530330209002","3","11","2021-03-12"
"530330209003","2","11","2021-03-12"
"530330210001","3","11","2021-03-12"
"530330210002","3","11","2021-03-12"
"530330210003","3","11","2021-03-12"
"530330210004","3","11","2021-03-12"
"530330210005","3","11","2021-03-12"
"530330211001","3","11","2021-03-12"
"530330211002","3","11","2021-03-12"
"530330211003","3","11","2021-03-12"
"530330213001","3","11","2021-03-12"
"530330213002","3","11","2021-03-12"
"530330213003","3","11","2021-03-12"
"530330214001","3","11","2021-03-12"
"530330214002","3","11","2021-03-12"
"530330214003","3","11","2021-03-12"
"530330215001","3","11","2021-03-12"
"530330215002","3","11","2021-03-12"
"530330215003","2","11","2021-03-12"
"530330215004","3","11","2021-03-12"
"530330216001","3","11","2021-03-12"
"530330216002","3","11","2021-03-12"
"530330216003","3","11","2021-03-12"
"530330216004","3","11","2021-03-12"
"530330217001","4","11","2021-03-12"
"530330217002","3","11","2021-03-12"
"530330217003","3","11","2021-03-12"
"530330217004","3","11","2021-03-12"
"530330217005","3","11","2021-03-12"
"530330218021","3","11","2021-03-12"
"530330218022","4","11","2021-03-12"
"530330218023","3","11","2021-03-12"
"530330218031","3","11","2021-03-12"
"530330218032","3","11","2021-03-12"
"530330218033","3","11","2021-03-12"
"530330218034","3","11","2021-03-12"
"530330218041","3","11","2021-03-12"
"530330218042","4","11","2021-03-12"
"530330218043","3","11","2021-03-12"
"530330219031","3","11","2021-03-12"
"530330219032","3","11","2021-03-12"
"530330219033","3","11","2021-03-12"
"530330219034","3","11","2021-03-12"
"530330219035","3","11","2021-03-12"
"530330219041","3","11","2021-03-12"
"530330219042","3","11","2021-03-12"
"530330219043","3","11","2021-03-12"
"530330219044","3","11","2021-03-12"
"530330219051","3","11","2021-03-12"
"530330219052","3","11","2021-03-12"
"530330219053","4","11","2021-03-12"
"530330219054","3","11","2021-03-12"
"530330219061","3","11","2021-03-12"
"530330219062","3","11","2021-03-12"
"530330219063","4","11","2021-03-12"
"530330220011","3","11","2021-03-12"
"530330220012","3","11","2021-03-12"
"530330220013","3","11","2021-03-12"
"530330220031","3","11","2021-03-12"
"530330220032","4","11","2021-03-12"
"530330220033","3","11","2021-03-12"
"530330220034","3","11","2021-03-12"
"530330220035","4","11","2021-03-12"
"530330220051","4","11","2021-03-12"
"530330220052","3","11","2021-03-12"
"530330220053","3","11","2021-03-12"
"530330220061","2","11","2021-03-12"
"530330220062","3","11","2021-03-12"
"530330220063","3","11","2021-03-12"
"530330221011","3","11","2021-03-12"
"530330221012","3","11","2021-03-12"
"530330221013","3","11","2021-03-12"
"530330221014","3","11","2021-03-12"
"530330221021","3","11","2021-03-12"
"530330221022","3","11","2021-03-12"
"530330221023","3","11","2021-03-12"
"530330221024","3","11","2021-03-12"
"530330222011","3","11","2021-03-12"
"530330222012","3","11","2021-03-12"
"530330222013","3","11","2021-03-12"
"530330222014","3","11","2021-03-12"
"530330222021","3","11","2021-03-12"
"530330222022","3","11","2021-03-12"
"530330222023","3","11","2021-03-12"
"530330222024","3","11","2021-03-12"
"530330222025","3","11","2021-03-12"
"530330222031","3","11","2021-03-12"
"530330222032","3","11","2021-03-12"
"530330222033","3","11","2021-03-12"
"530330223001","2","11","2021-03-12"
"530330223002","3","11","2021-03-12"
"530330224001","3","11","2021-03-12"
"530330224002","3","11","2021-03-12"
"530330224003","3","11","2021-03-12"
"530330224004","3","11","2021-03-12"
