CS_ID,Address_Line,url,City,Postal_Code,Property_Type,Year_Built,Price,SquareFeet,$ per sq ft,Sale_Type,Block Group ID,Population,Population: 3 Miles,Households: 3 Miles,Kids under 5,Kids under 5: 3 Miles,Kids 5 to 9,Kids 5 to 9: 3 Miles,Average Age,Household income under 40K: 3 Mile,Household income 40K to 50K: 3 Mile,Household income 50K to 60K: 3 Mile,Household income 60K to 75K: 3 Mile,Household income 75K to 100K: 3 Mile,Household income 100K to 125K: 3 Mile,Household income 125K to 150K: 3 Mile,Household income 150K to 200K: 3 Mile,Household income 200K+: 3 Mile
LN-18288967,9402 Front St S,https://www.loopnet.com/Listing/9402-Front-St-S-Lakewood-WA/18288967/,Lakewood,98499,Land,N/A,230000,34412.4,7,Investment,5.30531E+11,751,110890,41454,56,8821,112,8080,31.3,0.399,0.114,0.102,0.118,0.119,0.069,0.038,0.027,0.015
LN-18710758,8217 S Hosmer St,https://www.loopnet.com/Listing/8217-S-Hosmer-St-Tacoma-WA/18710758/,Tacoma,98408,Land,N/A,1190000,37026,32,Investment,5.30531E+11,905,137762,50662,42,10343,82,9921,45.6,0.385,0.116,0.106,0.116,0.126,0.076,0.033,0.026,0.015
LN-18771550,8217 S Hosmer St,https://www.loopnet.com/Listing/10117-S-Tacoma-Way-Lakewood-WA/18771550/,Tacoma,98408,Land,N/A,1190000,129373.2,9,Investment,5.30531E+11,551,135760,49325,45,10254,12,10312,48.4,0.385,0.115,0.105,0.12,0.127,0.075,0.033,0.025,0.014
LN-18819368,16313 64th St E,https://www.loopnet.com/Listing/16313-64th-St-E-Sumner-WA/18819368/,Sumner,98390,Land,N/A,950000,,,Investment,5.30531E+11,909,42506,15896,13,2855,21,2461,56.5,0.192,0.091,0.092,0.106,0.149,0.122,0.07,0.099,0.08
LN-19374344,2213 N Warner St,https://www.loopnet.com/Listing/2213-N-Warner-St-Tacoma-WA/19374344/,Tacoma,98406,Specialty,1909/1977,1100000,9680,114,InvestmentorOwnerUser,5.30531E+11,712,92988,40399,42,5086,35,5189,44.8,0.331,0.087,0.069,0.1,0.129,0.097,0.062,0.068,0.055
LN-20107835,8717 Key Peninsula Hwy NW,https://www.loopnet.com/Listing/8717-Key-Peninsula-Hwy-NW-Lakebay-WA/20107835/,Lakebay,98349,Land,N/A,815000,291852,3,OwnerUser,5.30531E+11,1832,2734,989,33,85,131,170,40.5,0.209,0.091,0.082,0.148,0.106,0.118,0.046,0.109,0.091
LN-20742136,1201 39th Ave SW,https://www.loopnet.com/Listing/9810-Pacific-Ave-Tacoma-WA/20742136/,Puyallup,98373,Land,N/A,2850000,1682,1694.411415,Investment,5.30531E+11,728,64964,24627,0,3569,17,3561,59.5,0.259,0.091,0.08,0.118,0.138,0.121,0.066,0.078,0.049
LN-20769216,12505 Canyon Rd E,https://www.loopnet.com/Listing/8113-John-Dower-Rd-SW-Lakewood-WA/20769216/,Puyallup,98373,Land,N/A,740520,13372,55,Investment,5.30531E+11,1246,72712,26145,76,4402,73,4541,39.9,0.24,0.087,0.072,0.126,0.14,0.123,0.08,0.086,0.046
LN-20956338,10821 Valley Ave E,https://www.loopnet.com/Listing/4404-S-Meridian-Puyallup-WA/20956338/,Puyallup,98372,Land,N/A,2400000,,,Investment,5.30539E+11,2229,58422,22689,192,3567,168,3607,29.7,0.25,0.084,0.087,0.12,0.157,0.111,0.059,0.082,0.05
LN-21058749,4723 E Freeman Rd,https://www.loopnet.com/Listing/4201-S-Steele-St-Tacoma-WA/21058749/,Puyallup,98371,Land,N/A,1650000,,,Investment,5.30539E+11,2229,58422,22689,192,3567,168,3607,29.7,0.25,0.084,0.087,0.12,0.157,0.111,0.059,0.082,0.05
LN-21333154,120 136th St S,https://www.loopnet.com/Listing/120-136th-St-S-Tacoma-WA/21333154/,Tacoma,98444,Multifamily,1969/2015,7900000,39460,200,Investment,5.30531E+11,1458,80652,28830,116,5955,131,5652,33.4,0.362,0.114,0.111,0.116,0.141,0.063,0.039,0.039,0.015
LN-21459049,2901-2915 Bridgeport Way W,https://www.loopnet.com/Listing/2901-2915-Bridgeport-Way-W-University-Place-WA/21459049/,University Place,98466,HealthCare,1969/2017,9800000,29962,327,Investment,5.30531E+11,1153,97429,40132,145,6981,101,5494,28.5,0.322,0.096,0.085,0.1,0.145,0.092,0.057,0.053,0.051
LN-21571284,10615 Canyon Rd E,https://www.loopnet.com/Listing/10615-Canyon-Rd-E-Puyallup-WA/21571284/,Puyallup,98373,Land,N/A,550000,42253.2,13,Investment,5.30531E+11,2226,60873,22267,31,3419,110,3550,33.4,0.237,0.085,0.08,0.121,0.147,0.12,0.073,0.083,0.054
LN-21666019,40724 S Silver Lake Rd E,https://www.loopnet.com/Listing/40724-S-Silver-Lake-Rd-E-Eatonville-WA/21666019/,Eatonville,98328,Multifamily,1950,950000,7112,134,Investment,5.30531E+11,2389,2389,903,111,111,181,181,47.7,0.238,0.05,0.059,0.132,0.161,0.151,0.157,0.034,0.019
LN-21673589,708 Market St,https://www.loopnet.com/Listing/708-Market-St-Tacoma-WA/21673589/,Tacoma,98402,Multifamily(Condo),2007,510000,1670,305,InvestmentorOwnerUser,5.30531E+11,1899,89129,36525,55,4880,8,5710,41.4,0.358,0.087,0.076,0.1,0.133,0.091,0.052,0.061,0.043
LN-21769054,5110 Chicago Ave SW,https://www.loopnet.com/Listing/5110-Chicago-Ave-SW-Tacoma-WA/21769054/,Tacoma,98499,Multifamily,1977,5750000,26250,219,Investment,5.30531E+11,2464,63750,24638,229,5204,283,4529,28.9,0.427,0.106,0.093,0.101,0.121,0.063,0.041,0.023,0.025
LN-21959583,2513 Meridian Ave E,https://www.loopnet.com/Listing/2513-Meridian-Ave-E-Edgewood-WA/21959583/,Edgewood,98371,Land,N/A,920000,42253.2,22,Investment,5.30531E+11,1314,57539,21754,120,3993,114,3418,33.8,0.206,0.094,0.088,0.115,0.145,0.128,0.075,0.088,0.061
LN-21975731,9801 A St,https://www.loopnet.com/Listing/9801-A-St-Tacoma-WA/21975731/,Tacoma,98444,Land,N/A,1400000,116305.2,12,Investment,5.30531E+11,2074,103285,36972,92,7257,132,6750,40,0.369,0.11,0.11,0.114,0.138,0.07,0.037,0.035,0.016
LN-22145016,12116 109th Avenue Ct E,https://www.loopnet.com/Listing/12116-109th-Avenue-Ct-E-Puyallup-WA/22145016/,Puyallup,98374,Multifamily,1991,625000,2598,241,Investment,5.30531E+11,2573,83958,30246,36,5285,58,5088,43.2,0.229,0.076,0.072,0.115,0.149,0.126,0.08,0.09,0.062
LN-22173561,216-220 Puyallup Ave,https://www.loopnet.com/Listing/216-220-Puyallup-Ave-Tacoma-WA/22173561/,Tacoma,98421,Specialty,1966/1990,3185000,48000,66,Investment,5.30531E+11,2414,69923,27762,11,3905,6,3940,35,0.319,0.081,0.074,0.1,0.131,0.1,0.07,0.068,0.057
LN-22243531,758 Polk St S,https://www.loopnet.com/Listing/758-Polk-St-S-Tacoma-WA/22243531/,Tacoma,98444,MultifamilyMultifamilyApartments,1941/2000,525000,2256,233,Investment,5.30531E+11,834,96643,34835,51,7501,61,6846,40.8,0.395,0.116,0.111,0.112,0.13,0.058,0.035,0.031,0.012
LN-22244199,414 N D St,https://www.loopnet.com/Listing/414-N-D-St-Tacoma-WA/22244199/,Tacoma,98403,Multifamily,1891/1983,880000,4209,209,Investment,5.30531E+11,1479,79774,33393,0,3972,66,4625,37.6,0.328,0.088,0.069,0.095,0.135,0.096,0.062,0.073,0.055
LN-22249951,8327 29th St,https://www.loopnet.com/Listing/8327-29th-St-University-Place-WA/22249951/,University Place,98466,Multifamily,1974,799950,3796,211,Investment,5.30531E+11,1711,73419,29912,209,4946,192,4083,30.8,0.297,0.089,0.089,0.096,0.152,0.087,0.059,0.061,0.069
LN-3788534,4723 E Freeman Rd,https://www.loopnet.com/Listing/4723-E-Freeman-Rd-Puyallup-WA/3788534/,Puyallup,98371,Land,N/A,1650000,235659.6,7,Investment,5.30539E+11,2229,58422,22689,192,3567,168,3607,29.7,0.25,0.084,0.087,0.12,0.157,0.111,0.059,0.082,0.05
LN-3833911,35026 90th Ave S,https://www.loopnet.com/Listing/35026-90th-Ave-S-Roy-WA/3833911/,Roy,98580,Land,N/A,,,,Investment,5.30531E+11,607,7772,2601,0,621,50,604,53.6,0.275,0.13,0.156,0.093,0.105,0.066,0.046,0.096,0.033
LN-3839013,8306-8314 166th St E,https://www.loopnet.com/Listing/8306-8314-166th-St-E-Puyallup-WA/3839013/,Puyallup,98375,Land,N/A,1200000,434728.8,3,Investment,5.30531E+11,2964,73864,23728,324,5718,296,6218,33.7,0.17,0.062,0.092,0.111,0.184,0.156,0.095,0.079,0.05
LN-3884778,5412 176th St E,https://www.loopnet.com/Listing/5412-176th-St-E-Puyallup-WA/3884778/,Puyallup,98375,Land,N/A,,,,OwnerUser,5.30531E+11,4120,67001,21313,205,5450,260,5878,30.7,0.173,0.073,0.09,0.12,0.195,0.139,0.087,0.074,0.049
LN-3945583,19406 Mountain Hwy E,https://www.loopnet.com/Listing/19406-Mountain-Hwy-E-Spanaway-WA/3945583/,Spanaway,98387,Land,N/A,5400000,779288.4,7,Investment,5.30531E+11,1372,39531,13080,90,2781,95,3524,31.6,0.241,0.071,0.098,0.142,0.187,0.086,0.083,0.058,0.034
