Block Group ID,Average Block Group Score,Population,Population: 3 Miles,Households: 3 Miles,Kids under 5,Percent Kids under 5,Kids under 5: 3 Miles,Percent Kids under 5: 3 Miles,Kids 5 to 9,Percent Kids 5 to 9,Kids 5 to 9: 3 Miles,Percent Kids 5 to 9: 3 Miles,Average Age,Household income under 40K: 3 Mile,Household income 40K to 50K: 3 Mile,Household income 50K to 60K: 3 Mile,Household income 60K to 75K: 3 Mile,Household income 75K to 100K: 3 Mile,Household income 100K to 125K: 3 Mile,Household income 125K to 150K: 3 Mile,Household income 150K to 200K: 3 Mile,Household income 200K+: 3 Mile
530330293052,,832,98005,33460,26,0.031,6545,0.067,10,0.012,6111,0.062,36.4,0.232,0.073,0.082,0.124,0.154,0.111,0.076,0.09,0.058
530330257013,,1043,118522,45878,133,0.128,7778,0.066,118,0.113,7709,0.065,31.3,0.226,0.072,0.081,0.114,0.15,0.121,0.07,0.091,0.074
530330118006,,2293,109979,38924,270,0.118,7050,0.064,338,0.147,6618,0.06,28.8,0.285,0.069,0.08,0.082,0.124,0.098,0.075,0.086,0.102
530330292031,,2828,102057,34488,143,0.051,7285,0.071,200,0.071,7391,0.072,31.9,0.298,0.086,0.08,0.127,0.13,0.1,0.063,0.071,0.046
530670127302,,1524,3393,1228,59,0.039,282,0.083,139,0.091,255,0.075,44.4,0.264,0.037,0.09,0.119,0.068,0.155,0.148,0.095,0.024
530330059005,,1172,261116,135929,100,0.085,10259,0.039,127,0.108,7633,0.029,36.9,0.217,0.058,0.061,0.084,0.121,0.102,0.087,0.102,0.168
530330258033,,1565,101346,36981,73,0.047,6525,0.064,130,0.083,6547,0.065,30,0.194,0.074,0.078,0.119,0.162,0.119,0.084,0.104,0.067
530530607003,,1898,104605,45355,167,0.088,5786,0.055,248,0.131,6180,0.059,26.9,0.359,0.092,0.072,0.101,0.129,0.092,0.054,0.058,0.043
530330276002,,2192,92862,34979,223,0.102,6538,0.07,133,0.061,6575,0.071,31.6,0.294,0.095,0.079,0.098,0.128,0.092,0.079,0.069,0.066
530330234032,,1382,94826,34838,93,0.067,5494,0.058,72,0.052,5971,0.063,39.2,0.156,0.05,0.044,0.074,0.116,0.109,0.081,0.138,0.233
530330256013,,2384,113460,43560,185,0.078,7347,0.065,249,0.104,7283,0.064,37.5,0.229,0.071,0.079,0.114,0.154,0.119,0.066,0.089,0.08
530330305032,,2867,93323,31713,434,0.151,7172,0.077,241,0.084,7173,0.077,34.9,0.313,0.08,0.081,0.111,0.14,0.093,0.074,0.062,0.046
530330053012,,2389,258045,114751,20,0.008,12021,0.047,29,0.012,10857,0.042,22.9,0.195,0.056,0.061,0.08,0.116,0.106,0.085,0.111,0.191
530530731242,,2835,59265,18685,323,0.114,4497,0.076,356,0.126,4866,0.082,29.9,0.18,0.074,0.08,0.109,0.182,0.144,0.096,0.084,0.05
530330320034,,1233,1233,445,79,0.064,79,0.064,62,0.05,62,0.05,44.8,0.036,0.151,0.065,0.085,0.049,0.267,0.038,0.119,0.189
530330218023,,1302,45828,18358,102,0.078,2842,0.062,124,0.095,2978,0.065,40.3,0.184,0.065,0.061,0.093,0.129,0.125,0.087,0.126,0.131
530330293035,,1574,83747,30439,85,0.054,5751,0.069,128,0.081,5171,0.062,35.4,0.22,0.076,0.075,0.136,0.161,0.108,0.08,0.092,0.051
530530619002,,878,116506,45626,53,0.06,7007,0.06,78,0.089,8052,0.069,38.5,0.385,0.097,0.092,0.11,0.128,0.089,0.043,0.034,0.021
530330031004,,1528,139587,63648,128,0.084,8042,0.058,134,0.088,6354,0.046,42.3,0.165,0.06,0.054,0.098,0.126,0.113,0.094,0.11,0.179
530330114022,,1478,112021,45245,130,0.088,7779,0.069,125,0.085,7707,0.069,32.4,0.284,0.079,0.071,0.094,0.125,0.104,0.076,0.079,0.088
530330013002,,1368,213036,93489,151,0.11,12417,0.058,44,0.032,10287,0.048,39.9,0.229,0.064,0.063,0.087,0.123,0.103,0.08,0.105,0.146
530330208003,,921,69157,28813,25,0.027,3738,0.054,78,0.085,3206,0.046,49.8,0.273,0.067,0.06,0.082,0.133,0.113,0.074,0.102,0.096
530530703153,,1461,51980,18663,111,0.076,3998,0.077,180,0.123,3814,0.073,34,0.222,0.084,0.092,0.117,0.125,0.117,0.081,0.093,0.069
530670126101,,1366,4986,1944,51,0.037,188,0.038,65,0.048,280,0.056,55.3,0.157,0.065,0.104,0.092,0.133,0.162,0.07,0.13,0.086
530330304033,,1556,57687,20727,43,0.028,4161,0.072,143,0.092,3775,0.065,47.1,0.235,0.073,0.084,0.123,0.149,0.115,0.078,0.089,0.056
530330083002,,2084,230683,121344,15,0.007,8144,0.035,15,0.007,6749,0.029,36.3,0.243,0.06,0.061,0.08,0.116,0.096,0.083,0.095,0.166
530330240002,,1657,75241,33687,56,0.034,4253,0.057,189,0.114,3274,0.044,42.4,0.147,0.04,0.038,0.069,0.109,0.12,0.084,0.13,0.262
530330323282,,1026,46069,16070,58,0.057,3240,0.07,91,0.089,4393,0.095,41.2,0.095,0.031,0.025,0.055,0.084,0.104,0.11,0.16,0.336
530330119002,,1312,103700,37330,73,0.056,6249,0.06,69,0.053,6055,0.058,40.9,0.287,0.079,0.077,0.091,0.13,0.112,0.063,0.076,0.084
530330229011,,1619,100406,39004,116,0.072,6561,0.065,91,0.056,7170,0.071,48,0.159,0.043,0.041,0.076,0.115,0.125,0.082,0.138,0.22
530530626002,3,2261,142235,55505,167,0.074,9705,0.068,125,0.055,8895,0.063,34.9,0.36,0.103,0.093,0.104,0.133,0.093,0.049,0.041,0.025
530530712073,4,2397,84205,31551,170,0.071,5078,0.06,124,0.052,4625,0.055,29.3,0.25,0.088,0.077,0.123,0.139,0.116,0.071,0.083,0.054
530330319062,,2337,33953,12553,115,0.049,2146,0.063,142,0.061,2284,0.067,50.3,0.155,0.061,0.067,0.084,0.129,0.147,0.11,0.117,0.13
530330312024,,1195,4862,1664,69,0.058,298,0.061,76,0.064,259,0.053,37.9,0.172,0.064,0.076,0.061,0.153,0.135,0.141,0.08,0.118
530330220035,,980,103710,41652,58,0.059,6726,0.065,90,0.092,6102,0.059,31.7,0.164,0.052,0.058,0.081,0.129,0.116,0.105,0.125,0.17
530530717041,,2987,109499,40727,438,0.147,8695,0.079,429,0.144,7636,0.07,24.9,0.407,0.113,0.102,0.115,0.118,0.067,0.038,0.027,0.012
530330057006,,1526,145132,68939,129,0.085,7649,0.053,67,0.044,6461,0.045,39.3,0.157,0.062,0.063,0.09,0.131,0.107,0.095,0.107,0.188
530530731182,,2198,12665,4144,33,0.015,947,0.075,106,0.048,859,0.068,50.7,0.148,0.095,0.066,0.16,0.196,0.108,0.11,0.077,0.039
530330323163,,1768,65545,23307,147,0.083,4430,0.068,123,0.07,5583,0.085,42.3,0.12,0.039,0.032,0.054,0.084,0.109,0.099,0.16,0.303
530330041001,,1396,124304,48317,49,0.035,5682,0.046,67,0.048,6195,0.05,33.9,0.244,0.05,0.049,0.058,0.096,0.084,0.073,0.109,0.238
530330298024,,1079,84850,30072,29,0.027,5458,0.064,69,0.064,6287,0.074,40.1,0.277,0.069,0.088,0.129,0.141,0.092,0.08,0.068,0.056
