"Block.Group.ID","Average.Block.Group.Score","Population","Population.3.Mile","Households.3.Mile","Percent.Kids.under.5","Percent.Kids.under.5.3.Mile","Percent.Kids.5.to.9","Percent.Kids.5.to.9.3 Mile","Average.Age","Household.income.under.40K.3Mile","Household.income.40K.to.50K.3.Mile","Household.income.50K.to.60K.3.Mile","Household.income.60K.to.75K.3.Mile","Household.income.75K.to.100K.3.Mile","Household.income.100:.125K.3.Mile","Household.income.125K.to.150K.3.Mile","Household.income.150K.to.200K.3.Mile","Household.income.200K+.3Mile","Score"
"530530625001",NA,1024,130391,49933,0.056,0.068,0.021,0.069,35.9,0.384,0.103,0.094,0.111,0.124,0.089,0.044,0.031,0.02,2.81193297049889
"530530703154",NA,834,33783,12422,0,0.074,0.058,0.071,43.9,0.155,0.06,0.08,0.1,0.136,0.127,0.086,0.139,0.117,2.74060111791227
"530330012002",NA,669,223366,94313,0.097,0.055,0,0.048,34.8,0.255,0.064,0.065,0.082,0.117,0.098,0.072,0.104,0.145,1.91869424362468
"530330278001",NA,1097,53103,19967,0.063,0.063,0.076,0.067,51.7,0.275,0.093,0.074,0.098,0.131,0.09,0.084,0.072,0.083,5.04900037101323
"530530716022",NA,1511,92240,33187,0.089,0.07,0.049,0.068,32.7,0.36,0.111,0.107,0.112,0.135,0.076,0.043,0.037,0.018,4.13668886790854
"530670117102",NA,1560,72347,29955,0.01,0.054,0.037,0.058,37.9,0.27,0.087,0.095,0.107,0.157,0.114,0.065,0.062,0.043,2.79967643580854
"530330052002",NA,1615,305298,145710,0.021,0.044,0,0.038,22.1,0.211,0.055,0.059,0.081,0.119,0.104,0.083,0.109,0.179,5.6956751549876
"530330322103",NA,6559,52977,20435,0.082,0.071,0.061,0.072,33.8,0.149,0.039,0.045,0.068,0.132,0.104,0.098,0.128,0.238,4.82439462578858
"530330327042",NA,1468,11541,4166,0.072,0.056,0.113,0.089,39.3,0.185,0.055,0.03,0.065,0.125,0.145,0.107,0.16,0.129,5.36920798626458
"530530715042",NA,1961,93204,33956,0.01,0.075,0.007,0.072,20.3,0.402,0.114,0.1,0.106,0.133,0.062,0.035,0.034,0.014,2.80459363518161
